"","Operational","State","Type","Latitude","Longitude","SimpleType"
"41","YES","Puerto Rico","Sterilizer",18.405802,-66.276411,"Sterilizer"
"42","YES","Puerto Rico","Incinerator",18.488996,-67.136225,"Incinerator"
"43","YES","Texas","Sterilizer",29.711401,-95.204584,"Sterilizer"
"44","YES","South Carolina","Incinerator",33.94696,-81.12504,"Incinerator"
"45","YES","South Carolina","Incinerator",34.889705,-82.215254,"Incinerator"
"46","YES","South Dakota","Incinerator",44.14395,-103.07507,"Incinerator"
"47","YES","Tennessee","Sterilizer",35.074072,-90.078795,"Sterilizer"
"48","YES","Tennessee","Sterilizer",36.120339,-86.690585,"Sterilizer"
"49","YES","Tennessee","Incinerator",35.033165,-85.207482,"Incinerator"
"50","YES","Tennessee","Sterilizer",36.115174,-86.677658,"Sterilizer"
"51","YES","Texas","Steam Sterilizer            (unpressurized)",29.768717,-95.147778,"Sterilizer"
"52"," ","Texas","Sterilizer",32.836254,-96.837269,"Sterilizer"
"53"," ","Texas","Sterilizer",29.989266,-95.317916,"Sterilizer"
"54","Shutting down processor on 3/27/20","Texas","Sterilizer",29.948862,-95.314653,"Sterilizer"
"55"," ","Texas","Sterilizer",29.986827,-95.324649,"Sterilizer"
"56","YES","Texas","Incinerator",33.33473,-102.209611,"Incinerator"
"57","YES","Texas","Sterilizer",30.350943,-95.442365,"Sterilizer"
"58"," ","Texas","Sterilizer",32.879778,-97.042732,"Sterilizer"
"59"," ","Texas","Sterilizer",29.535035,-98.485979,"Sterilizer"
"60","YES","Texas","Sterilizer",30.057841,-97.611431,"Sterilizer"
"61"," ","Texas","Sterilizer",32.879778,-97.042732,"Sterilizer"
"62"," ","Texas","Sterilizer",31.798154,-106.400116,"Sterilizer"
"63"," ","Texas","Sterilizer",32.872411,-97.042908,"Sterilizer"
"64"," ","Texas","Sterilizer",27.545572,-99.452181,"Sterilizer"
"65","YES","Texas","Sterilizer",29.927197,-94.031617,"Sterilizer"
"66"," ","Texas","Sterilizer",30.205168,-97.661289,"Sterilizer"
"67","YES","Texas","Steam sterilizer",32.882011,-96.675758,"Sterilizer"
"68","YES","Texas","Sterilizer",27.790353,-97.535554,"Sterilizer"
"69"," ","Texas","Incinerator",25.909101,-97.436518,"Incinerator"
"70"," ","Texas","Sterilizer",26.181213,-98.239576,"Sterilizer"
"71"," ","Texas","Sterilizer",29.387803,-98.574771,"Sterilizer"
"72","Currently non-operational due to runway repairs at the airfield","Texas","Sterilizer",31.81357,-106.41224,"Sterilizer"
"73"," ","Texas","Incinerator",26.223716,-97.662365,"Incinerator"
"74","Yes","U.S. Virgin Islands","Incinerator",17.72553,-64.74145,"Incinerator"
"75","NO -  Inactive due to hurrivane having destroyrd incinerator","U.S. Virgin Islands","Incinerator",18.34899,-64.93042,"Incinerator"
"76","YES","U.S. Virgin Islands","Sterilizer",17.74672,-64.70418,"Sterilizer"
"77","YES","U.S. Virgin Islands","Incinerator",18.335755,-64.963668,"Incinerator"
"78","YES","U.S. Virgin Islands","Incinerator",18.335755,-64.963668,"Incinerator"
"79","NO - is due for a calibration to resume operational status","U.S. Virgin Islands","Sterilizer",17.74672,-64.70418,"Sterilizer"
"80","YES","U.S. Virgin Islands","Incinerator",18.34899,-64.93042,"Incinerator"
"81","YES","Utah","Sterilizer",40.71731,-111.950579,"Sterilizer"
"82","YES","Utah","Incinerator",40.843785,-111.940833,"Incinerator"
"83","YES","Vermont","Sterilizer",44.464078,-73.147787,"Sterilizer"
"84","YES","Virginia","Waste-to-Energy Incinerator",38.801083,-77.127671,"Incinerator"
"85","YES","Virginia","Autoclave (1) - Sterilizer",38.961876,-77.450533,"Sterilizer"
"86","YES","Washington","Sterilizer",47.456404,-122.299135,"Sterilizer"
"87","YES","Washington","Sterilizer",47.53201,-122.332298,"Sterilizer"
"88","YES","Washington","Incinerator",47.626228,-117.501865,"Incinerator"
"89","YES","Washington","Sterilizer",47.153747,-122.483518,"Sterilizer"
"90","YES","Wisconsin","Incinerator",44.260222,-88.511092,"Incinerator"
"91"," ","Wisconsin","Sterilizer",46.727761,-92.075962,"Sterilizer"
"92","YES","Wisconsin","Incinerator",42.75493,-87.817075,"Incinerator"
"93","YES","Wisconsin","Sterilizer",44.491737,-88.128095,"Sterilizer"
"94","YES, ADDED","California","Sterilizer",33.956307,-118.37235,"Sterilizer"
"95","Letter of relinquishment submitted","California","Autoclave ",37.601009,-122.370859,"Autoclave "
"96","YES","California","Sterilizer",36.772308,-119.727626,"Sterilizer"
"97","YES - New","California","Sterilizer",37.644964,-122.395927,"Sterilizer"
"98","YES","California","Sterilizer",33.931773,-118.406827,"Sterilizer"
"99","YES - Operational and processing RG","California","Sterilizer",37.58037,-122.35093,"Sterilizer"
