task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME,container,ITEM_TYPE,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
TK:6852:24,Puerto Rico,IBL 24-062,2024-06-13,"Animal# 26
Plant# 3",11.793392,1.360776,18.49006,-67.1572,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6767:24,Puerto Rico,IBL 24-061,2024-06-10,"Animal # 9.0 pounds
Plant # 1.2 pounds",4.082328,0.5443104,18.51304,-67.11352,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6750:24,Puerto Rico,IBL 24-060,2024-06-07,"Animal# 0
Plant# 0",0,0,18.23202,-65.62184,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6487:24,Puerto Rico,IBL 24-059,2024-05-27,"Animal# 27
Plant# 3",12.246984,1.360776,18.36372,-67.27043,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6480:24,Puerto Rico,IBL 24-058,2024-05-25,"Animal: 0.0 pounds
Plant 0.0 pounds",0,0,18.34751,-67.26327,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1082:25,Florida,IBL 24-057,2024-09-24,NA,NA,NA,26.77844,-80.0352,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6353:24,Puerto Rico,IBL 24-057,2024-05-20,"Animal# 0
Plant# 0",0,0,18.30491,-65.24473,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8393:24,Florida,IBL 24-056,2024-09-16,NA,NA,NA,24.69211,-81.08721,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6333:24,Puerto Rico,IBL 24-056,2024-05-18,"Animal: 0.0 pounds
Plant: 3.5 pounds",0,1.587572,18.36453,-67.26994,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6300:24,Puerto Rico,IBL 24-055,2024-05-16,"Animal # 25.0 pounds
Plant 0.66 pounds",11.3398,0.29937072000000003,18.509,-67.02768,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8392:24,Florida,IBL 24-055,2024-09-15,NA,NA,NA,26.54215,-80.04382,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6284:24,Puerto Rico,IBL 24-054,2024-05-14,"ANIMAL #30
PLANT #16",13.607759999999999,7.257472,18.51536,-67.09767,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8391:24,Florida,IBL 24-054,2024-08-30,NA,NA,NA,26.44779,-80.05982,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6246:24,Puerto Rico,IBL 24-053,2024-05-14,"Animal# 0
Plant# 0",0,0,18.48595,-66.67685,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8388:24,Florida,IBL 24-053,2024-08-21,NA,NA,NA,24.68092,-81.23107,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8385:24,Florida,IBL 24-052,2024-08-18,NA,NA,NA,25.18728,-80.35281,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6235:24,Puerto Rico,IBL 24-052,2024-05-12,"ANIMAL #25
PLANT #20",11.3398,9.07184,18.23074,-65.62148,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8383:24,Florida,IBL 24-051,2024-08-11,NA,NA,NA,26.77112,-80.03456,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6175:24,Puerto Rico,IBL 24-051,2024-05-07,"Animal# 4.7
Plant# 2",2.1318824,0.907184,17.96114,-67.21398,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6134:24,Puerto Rico,IBL 24-050,2024-05-03,"ANIMAL # 10.00
PLANT # 16.00",4.53592,7.257472,18.48858,-66.42295,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7960:24,Florida,IBL 24-050,2024-08-10,NA,NA,NA,25.96327,-80.11962,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5981:24,Puerto Rico,IBL 24-049,2024-04-28,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,18.37385,-67.24577,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7959:24,Florida,IBL 24-049,2024-08-01,NA,NA,NA,24.55028,-81.77625,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5980:24,Puerto Rico,IBL 24-048,2024-04-27,"Animal 2.5 pounds
Plant 0.5 pounds",1.13398,0.226796,18.51306,-67.11471,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7958:24,Florida,IBL 24-048,2024-07-30,NA,NA,NA,24.54517,-81.80703,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5847:24,Puerto Rico,IBL 24-047,2024-04-19,"Animal# 6
Plant #4",2.721552,1.814368,18.5127,-67.04023,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7927:24,Florida,IBL 24-047,2024-07-07,NA,NA,NA,26.75707,-80.03628,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5466:24,Puerto Rico,IBL 24-046,2024-04-07,"Animal: 13.0 pounds
Plant 0.0 pounds",5.896696,0,18.50342,-67.0027,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7926:24,Florida,IBL 24-046,2024-07-02,Vessel landed in South Miami beach and all subjects considered got-aways.,NA,NA,25.76916,-80.13061,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7268:24,Florida,IBL 24-045,2024-06-30,NA,NA,NA,26.53856,-80.05404,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5455:24,Puerto Rico,IBL 24-045,2024-04-07,"Animal: 0.0 pounds
Plants: 0.0 pounds",0,0,18.50846,-67.02472,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7267:24,Florida,IBL 24-044,2024-06-30,NA,NA,NA,24.55302,-81.75211,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:5454:24,Puerto Rico,IBL 24-044,2024-04-07,"Animal: 0.0 pounds
Plant 0.0 pounds",0,0,18.4897,-67.15796,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7266:24,Florida,IBL 24-043,2024-06-27,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7266:24,Florida,IBL 24-043,2024-06-27,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
