"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Express_courier","Express_courier;baggage;other products;plasma","KY Louisville CBP",1.27691622432076e-08,7.8849240829483e-12,0,1,0.999999999996948,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","OH Cincinnati DHL CBP",16.6602173551679,0.000135574837312943,0,1,0.993088529846691,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","PR Aguadilla CBP",1.27885345718516e-08,7.88492408310102e-12,0,1,0.999999999998961,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","TN Memphis Fed-X CBP",15.7184108687802,5.28680941052097e-05,0,1,0.993479228120128,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","Average",NA,4.41774165046828e-05,0,0.000103080638510927,NA,NA
"Express_courier","Express_courier;baggage;fomite;unspecified feed","AK Anchorage Express CBP",-9.44240402067165,7.92832791558951e-05,1.11680127075569e-05,0.000562609316137117,3.65627106362951e-21,TRUE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","CA Oakland CBP",-15.1236645022088,2.14334458682997e-11,0,1,0.999756309078991,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","FL Miami Air Cargo CBP",1.0429138681052,0.000224931395922799,1.22898931324436e-05,0.0041016361000816,0.341098780658367,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","KY Louisville CBP",-15.1236645029641,2.1433445852111e-11,0,1,0.992709710888703,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","OH Cincinnati DHL CBP",-15.123664502952,2.14334458523702e-11,0,1,0.992089688567995,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","PR Aguadilla CBP",-15.1236645029717,2.1433445851948e-11,0,1,0.997934268666355,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","TN Memphis Fed-X CBP",1.38677021171139,0.000317208564628997,1.77206278505914e-05,0.00564960424919935,0.199202489275444,FALSE
"Express_courier","Express_courier;baggage;fomite;unspecified feed","Average",NA,0.000176709666018731,8.83548330093656e-05,0.000279790304529658,NA,NA
"Express_courier","Express_courier;baggage;fomite;personal effects","AK Anchorage Express CBP",-26.5660685236101,2.90070146526031e-12,0,1,0.993315480022947,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","CA Oakland CBP",-4.56706727662872e-11,2.90070146512783e-12,0,1,1,FALSE
