"","pathway","INSPECTION_LOCATION_NAME","log_odds","pred_prob","lower_prob","upper_prob","container","product_pathway","product_subpathway","product_proportion","adjusted_prob","adjusted_lower","adjusted_upper"
"81","Airport - Aircraft - Person - CBP","PHILADELPHIA, PA (1101)",-4.15888308335967,0.0153846153846154,0.00216290839771309,0.101230188450344,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,2.97689926172898e-05,4.18519426802069e-06,0.000195878847620635
"82","Airport - Aircraft - Person - CBP","PHOENIX, AZ (2605)",-6.93692565628191,0.000970308558121485,0.000403919938691844,0.00232905374222459,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.87753203970876e-06,7.81578828738089e-07,4.50668293774109e-06
"83","Airport - Aircraft - Person - CBP","SAN ANTONIO, TX (5507)",-7.47193207824512,0.000568504832291077,0.000183362812736653,0.00176118836110758,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.10004805009883e-06,3.5480420421179e-07,3.40787221576544e-06
"84","Airport - Aircraft - Person - CBP","SAN FRANCISCO INTL AIRPORT (2801)",-3.44866391890108,0.030808729139923,0.0277257349759883,0.0342224736932287,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,5.96144139704392e-05,5.36488679875935e-05,6.62199568367429e-05
"85","Airport - Aircraft - Person - CBP","SAN JUAN INTL AIRPORT (4913)",-4.71129128189663,0.00891300135632633,0.00668239462669851,0.0118792877884557,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.72465196523342e-05,1.29303301600203e-05,2.2986237980758e-05
"86","Airport - Aircraft - Person - CBP","SEATTLE-TACOMA INTL ARPT (3029)",-3.76708898070581,0.0225968436154949,0.0199969392738151,0.0255259702896797,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,4.37245425996419e-05,3.86937679446886e-05,4.93923573716712e-05
"87","Airport - Aircraft - Person - CBP","TAMPA, FL (1801)",-6.71026206964238,0.00121686223381138,0.000720810574585688,0.00205358808956562,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,2.35460958554833e-06,1.39475730376488e-06,3.97366116402017e-06
"88","Airport - Aircraft - Person - Pre-Clearance","Aruba (7424)",-31.7417084399609,1.63965009432899e-14,0,1,"baggage","other products","animal-based feed",0.0869565217391304,1.36107753845766e-06,1.36107753845766e-06,2.72215507691532e-06
"89","Airport - Aircraft - Person - Pre-Clearance","Bermuda (7421)",-31.6390389482752,1.81693743127842e-14,0,1,"baggage","other products","animal-based feed",0.0869565217391304,1.36107753845766e-06,1.36107753845766e-06,2.72215507691532e-06
"90","Airport - Aircraft - Person - Pre-Clearance","Montreal (7925)",-8.98532006064911,0.000125219133483596,1.76379024182907e-05,0.000888402074091708,"baggage","other products","animal-based feed",0.0869565217391304,1.08886203029214e-05,1.53373064506876e-06,7.72523542688441e-05
"91","Airport - Aircraft - Person - Pre-Clearance","Nassau (7423)",-8.92225821950305,0.000133368898372901,1.87858295420082e-05,0.000946183402419139,"baggage","other products","animal-based feed",0.0869565217391304,1.1597295510687e-05,1.63355039495723e-06,8.22768176016643e-05
"92","Airport - Aircraft - Person - Pre-Clearance","Toronto (7926)",-7.95586343547648,0.00035047752562867,0.000131544314912217,0.000933447776745473,"baggage","other products","animal-based feed",0.0869565217391304,3.04763065764061e-05,1.14386360793232e-05,8.11693718909107e-05
"93","Airport - Aircraft - Person - Pre-Clearance","Vancouver (7922)",-6.36201339010991,0.00172291476639304,0.00107131849719861,0.00276972541330274,"baggage","other products","animal-based feed",0.0869565217391304,0.000149818675338525,9.31581301911838e-05,0.000240845688113282
"94","Airport - Aircraft - Person - Pre-Clearance","Aruba (7424)",-31.7417084399609,1.63965009432899e-14,0,1,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,1.42913141538054e-05,1.42913141538054e-05,2.85826283076108e-05
"95","Airport - Aircraft - Person - Pre-Clearance","Bermuda (7421)",-31.6390389482752,1.81693743127842e-14,0,1,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,1.42913141538054e-05,1.42913141538054e-05,2.85826283076108e-05
"96","Airport - Aircraft - Person - Pre-Clearance","Montreal (7925)",-8.98532006064911,0.000125219133483596,1.76379024182907e-05,0.000888402074091708,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,0.000114330513180675,1.6104171773222e-05,0.000811149719822863
"97","Airport - Aircraft - Person - Pre-Clearance","Nassau (7423)",-8.92225821950305,0.000133368898372901,1.87858295420082e-05,0.000946183402419139,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,0.000121771602862214,1.7152279147051e-05,0.000863906584817475
"98","Airport - Aircraft - Person - Pre-Clearance","Toronto (7926)",-7.95586343547648,0.00035047752562867,0.000131544314912217,0.000933447776745473,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,0.000320001219052264,0.000120105678832894,0.000852278404854562
"99","Airport - Aircraft - Person - Pre-Clearance","Vancouver (7922)",-6.36201339010991,0.00172291476639304,0.00107131849719861,0.00276972541330274,"baggage","swine products/by-products","personal use or consumption",0.91304347826087,0.00157309609105451,0.00097816036700743,0.00252887972518946
"100","Express_courier","",-32.9506412741078,4.89461255073022e-15,0,1,"package","other products","unspecified feed",0.0588235294117647,5.55976845543524e-16,5.55976845543524e-16,1.11195369108705e-15
"101","Express_courier","AGUADILLA, PR (4901)",-28.9163012093119,2.76573106484833e-13,0,1,"package","other products","unspecified feed",0.0588235294117647,5.55976845543524e-16,5.55976845543524e-16,1.11195369108705e-15
"102","Express_courier","DHL COURIER CINCINNATI (4197)",-31.5994445005991,1.89032127484798e-14,0,1,"package","other products","unspecified feed",0.0588235294117647,5.55976845543524e-16,5.55976845543524e-16,1.11195369108705e-15
"103","Express_courier","FEDERAL EXPRESS COURIER AK (3195)",-8.34363314029086,0.000237849837469278,7.67121093095188e-05,0.000737216094536814,"package","other products","unspecified feed",0.0588235294117647,1.39911669099575e-05,4.51247701820699e-06,4.33656526198126e-05
"104","Express_courier","FEDEX COURIER, MEMPHIS TN (2095)",-5.97402163349626,0.00253753436244449,0.00191278019050806,0.00336565825947973,"package","other products","unspecified feed",0.0588235294117647,0.000149266727202617,0.000112516481794592,0.000197979897616454
"105","Express_courier","",-32.9506412741078,4.89461255073022e-15,0,1,"package","swine products/by-products","personal use or consumption",0.92156862745098,8.71030391351521e-15,8.71030391351521e-15,1.74206078270304e-14
"106","Express_courier","AGUADILLA, PR (4901)",-28.9163012093119,2.76573106484833e-13,0,1,"package","swine products/by-products","personal use or consumption",0.92156862745098,8.71030391351521e-15,8.71030391351521e-15,1.74206078270304e-14
"107","Express_courier","DHL COURIER CINCINNATI (4197)",-31.5994445005991,1.89032127484798e-14,0,1,"package","swine products/by-products","personal use or consumption",0.92156862745098,8.71030391351521e-15,8.71030391351521e-15,1.74206078270304e-14
"108","Express_courier","FEDERAL EXPRESS COURIER AK (3195)",-8.34363314029086,0.000237849837469278,7.67121093095188e-05,0.000737216094536814,"package","swine products/by-products","personal use or consumption",0.92156862745098,0.000219194948256001,7.06954732852428e-05,0.000679395224377064
"109","Express_courier","FEDEX COURIER, MEMPHIS TN (2095)",-5.97402163349626,0.00253753436244449,0.00191278019050806,0.00336565825947973,"package","swine products/by-products","personal use or consumption",0.92156862745098,0.00233851205950767,0.00176275821478194,0.00310168506265779
"110","Express_courier","",-32.9506412741078,4.89461255073022e-15,0,1,"package","swine products/by-products","smuggled commercial products",0.0196078431372549,1.85325615181175e-16,1.85325615181175e-16,3.70651230362349e-16
