entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
passenger,baggage,Animal,Processed Animal Proteins: Non-Ruminant Controlled and Undetermined Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
unknown,unknown,Animal,Processed Animal Proteins: Non-Ruminant Controlled and Undetermined Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
commercial,container,Animal,"Pork, Skin",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Skin",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Skin",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Skin",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Skin",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Sausage",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Sausage",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Sausage",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Sausage",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Sausage",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Salami",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Salami",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Salami",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Salami",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Salami",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
